Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_61TGKB2PEDISP.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_61TGKB2PEDISP.jpeg,Moto,Exotic,None,Pattern 4,Color 0,WW-135,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_Q7RQMZ9GJ5KSO.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_Q7RQMZ9GJ5KSO.jpeg,Moto,Exotic,None,Pattern 4,Color 3,WW-136,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_02OQW6WHPW5FG.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_02OQW6WHPW5FG.jpeg,Moto,Exotic,None,Pattern 6,Color 3,WW-137,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_EDED7GZM2JIM5.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_EDED7GZM2JIM5.jpeg,Moto,Exotic,None,Pattern 3,Color 5,WW-138,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_2S7QCSTCWK16M.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_2S7QCSTCWK16M.jpeg,Moto,Exotic,None,Pattern 7,Color 3,WW-139,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1RZYQ4JDCR3Y9.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1RZYQ4JDCR3Y9.jpeg,Moto,Exotic,Side Cart,Pattern 3,Color 3,WW-140,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_ZH6GDDKZD19KW.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_ZH6GDDKZD19KW.jpeg,Moto,Exotic,None,Pattern 9,Color 1,WW-141,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_EELHPIT94D80Q.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_EELHPIT94D80Q.jpeg,Moto,Exotic,None,Pattern 1,Color 0,WW-142,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_U2QLM8S7EPFGY.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_U2QLM8S7EPFGY.jpeg,Moto,Exotic,None,Pattern 0,Color 4,WW-143,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_INSA9SWN57UIE.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_INSA9SWN57UIE.jpeg,Moto,Exotic,None,Pattern 0,Color 3,WW-144,,,,,,,
